"Well","Content","OD405","pct_B_B0","predicted_conc","result_flag","Plate","Experiment","Drug","Infection"
"B10","Exp4 C10 L1 (1/1)",0.33,29.2906815020862,221.168594758197,"OK","Plate3","Exp4","C10","L1"
"B11","Exp3 DMSO 1 (1/1)",0.453,49.8191933240612,92.8485785765078,"OK","Plate3","Exp3","DMSO","DMSO_1"
"B12","",0.444,48.317107093185,98.6650737347626,"OK","Plate3","","",""
"B4","Exp3 C10 B1 (1/1)",0.569,69.1794158553546,39.5361236019303,"OK","Plate3","Exp3","C10","B1"
"B5","Exp3 C0 L1 (1/1)",0.558,67.3435326842837,43.3514513742256,"OK","Plate3","Exp3","C0","L1"
"B6","Exp3 C10 L1 (1/1)",0.445,48.4840055632823,98.0018108513723,"OK","Plate3","Exp3","C10","L1"
"B7","Exp4 C0 B1 (1/1)",0.478,53.9916550764951,78.3146192713488,"OK","Plate3","Exp4","C0","B1"
"B8","Exp4 C10 B1 (1/1)",0.509,59.1655076495132,63.0059670293432,"OK","Plate3","Exp4","C10","B1"
"B9","Exp4 C0 L1 (1/1)",0.566,68.6787204450626,40.5579986269329,"OK","Plate3","Exp4","C0","L1"
"C10","Exp4 C10 L10 (1/1)",0.375,36.8011126564673,158.243806300063,"OK","Plate3","Exp4","C10","L10"
"C11","Exp3 DMSO 10 (1/1)",0.474,53.3240611961057,80.494535757834,"OK","Plate3","Exp3","DMSO","DMSO_10"
"C12","",0.461,51.1543810848401,87.9522480155246,"OK","Plate3","","",""
"C4","Exp3 C10 B10 (1/1)",0.541,64.5062586926287,49.6424701690698,"OK","Plate3","Exp3","C10","B10"
"C5","Exp3 C0 L10 (1/1)",0.519,60.8344923504868,58.5935108963563,"OK","Plate3","Exp3","C0","L10"
"C6","Exp3 C10 L10 (1/1)",0.407,42.1418636995827,126.725753842613,"OK","Plate3","Exp3","C10","L10"
"C7","Exp4 C0 B10 (1/1)",0.451,49.4853963838665,94.1120011881424,"OK","Plate3","Exp4","C0","B10"
"C8","Exp4 C10 B10 (1/1)",0.521,61.1682892906815,57.7382092657705,"OK","Plate3","Exp4","C10","B10"
"C9","Exp4 C0 L10 (1/1)",0.569,69.1794158553546,39.5361236019303,"OK","Plate3","Exp4","C0","L10"
"D10","Exp4 C10 L100 (1/1)",0.319,27.4547983310153,241.588734908828,"OK","Plate3","Exp4","C10","L100"
"D11","Exp3 DMSO 100 (1/1)",0.469,52.4895688456189,83.2934699962232,"OK","Plate3","Exp3","DMSO","DMSO_100"
"D12","",0.471,52.8233657858136,82.1638087567964,"OK","Plate3","","",""
"D4","Exp3 C10 B100 (1/1)",0.429,45.8136300417246,109.16745311636,"OK","Plate3","Exp3","C10","B100"
